sentence_id,sentence,sentiment_label,control,sentence_en
5,موضوع خوبی فراهم می‌کند، در حالی که فیلم نمی‌تواند دلیلی برای اهمییت دادن ما، فراتر از اصول اولیه‌ی نجابت انسانی ارائه دهد‌,0,,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.
7,"فیلم ""نان قندی من"" آنقدر ایراد دارد که برای منتقدان آسان است تا فیلم را خورد کنند‌",-1,,"Bread, My Sweet has so many flaws it would be easy for critics to shred it."
8,کند، احمقانه و ناخواسته خنده‌دار است‌,0,CONTROL,"Slow, silly and unintentionally hilarious."
15,صحنه‌آرایی‌های فیلم، خاص و صمیمی است، در نتیجه جسورتر از ساخته‌های از قبل تولید شده‌ایی هستند که طراحی و روند تولید فیلم را تعریف کرده و تحت تاثیر قرار می‌دهند‌,0,,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.
22,"غیر از شگفتی‌های ظاهری، موضوع دیگری در مورد فیلم ""فِیتِل"" وجود ندارد ‌‌‌اما اشکالی ندارد‌",0,CONTROL,"There's not much to Fatale, outside of its stylish surprises... but that's OK."
23,"بازی بازیگران خشک و بی روح است، داستان فاقد هرگونه شوخ‌طبعی است، به نظر می‌رسد صحنه‌ها از جزیره‌ی گیلیگان قرض گرفته شده‌اند و احتمال دارد ""سی‌جی‌آی‌ اسکوبی"" بدترین جلوه ویژه‌ی سال باشد‌",-1,,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year."
26,فیلمی درجه یک که کاملا جزء فیلم‌هایی کم هزینه تلقی می‌شود، که ترکیب دو ژانر مطمئن و محبوب، زندان و فیلم مبارزه‌ایی است‌,1,,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film."
29,یکی دیگر از بهترین انتخاب‌های سال‌,1,,Another Best of the Year selection.
31,همان آهنگ، بخش دوم، می‌توانست بهتر باشد، اما می‌توانست بدتر نیز باشد‌,0,CONTROL,"Same song, second verse, coulda been better, but it coulda been worse."
32,عاشق قسمت میانیِ زیبای این فیلم هستم‌,1,,I love the robust middle of this picture.
36,"برای بقیه ما، نشستن در مقابل فیلم دو ساعتی ""داهمر""، کمی‌ بیشتر از مجازات است‌",-1,,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment."
38,این فیلم برای طرفدارانی است که نمی‌توانند انیمه را دوست نداشته باشند و بشدت به ساخته شدن آن متعصب هستند‌,0,,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it."
